Informazioni cronologiche,Sesso,Quanti anni compi nell'anno corrente 2025?,Qual è l'ultimo titolo di studi che hai conseguito?,Hai mai frequentato un corso universitario o accademico che trattava anche solo in parte di storia medievale?,Regione,Provincia (sigla),Con quali modalità ti informi sul medioevo?,Qual è la tua opinione generale sul medioevo? [Medioevo],Indica la data o il secolo in cui secondo te inizia il medioevo,Perché? Inizio,Indica la data o il secolo in cui secondo te finisce il medioevo,Perché?  Fine, [Feudalesimo],[Superstizione],[Germanico],[Eroico],[Comunale],[Sperimentazione],[Cristiano],[Oscurantismo],[Rinascita],[Decadenza],Quali di questi termini associ più fortemente con la tua idea di medioevo? (Max 5 risposte),[Federico II di Svevia],[Teodorico],[Lorenzo il Magnifico],[Costantino],[Petrarca],[Dante],[Enrico VIII Tudor],[Francesco Hayez],[Leonardo da Vinci],[Martin Lutero],[Giustiniano],[Giotto],[San Francesco],[Sant’Agostino d’Ippona],[Giovanna d’Arco],[Matilde di Canossa],[Carlo Magno],[Riccardo Cuor di Leone],[San Tommaso d’Aquino],[Beato Angelico],Se volessi aggiungere un tuo commento facoltativo su cosa pensi sia il medioevo
08/04/2025 16.59.39,Donna,60-69,Laurea magistrale,Sì,Lombardia,Cremona,"Libri, Podcast",Assolutamente positiva,500,Dopo il sacco di Roma,1492,Convenzionalmente si fa terminare alla scoperta dell'America,4,2,1,3,5,3,5,2,3,2,"Crociate, Vassalli, Aratro, Peste, Invenzione della stampa","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Un periodo ricco di cambiamenti, molto meno cupo e reazionario di quanto sia stato raccontato per lungo tempo"
08/04/2025 17.57.19,Uomo,20-29,Diploma di istruzione liceale,Sì,Lombardia,mi,"Libri, Videogiochi, Serie TV",Parzialmente positiva,476,caduta dell'impero romano d'occidente,1492,scoperta dell'America,5,5,3,2,5,2,5,4,3,3,"Stato pontificio, Peste, Vassalli, Caccia alle streghe, Crociate","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,
08/04/2025 20.00.24,Donna,60-69,Laurea magistrale,Sì,Lombardia,Cr,"Libri, Podcast",Assolutamente positiva,800dc,Carlo Magno è incoronato imperatore,1492 d.c.,Scoperta dell'America,4,3,5,1,5,2,5,2,3,1,"Crociate, Repubbliche Marinare, Arabi, Vassalli, Normanni","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",
08/04/2025 22.41.36,Uomo,50-59,Licenza media,No,Lombardia,bg,Serie TV,Assolutamente positiva,1000,così ci hanno insegnato a scuola ,1400,inizio del rinascimento ,3,3,3,3,1,3,1,3,1,1,"Invasioni Barbariche, Normanni, Stato pontificio, Crociate, Ungari","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",affascinante 
09/04/2025 12.09.28,Uomo,30-39,Laurea triennale,No,Lombardia,MI,Videogiochi,Neutrale,476,Caduta impero romano,1492,Scoperta americhe,3,5,3,5,3,1,5,3,3,3,Vassalli,"No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",
09/04/2025 17.30.34,Donna,50-59,Laurea magistrale,Sì,Lombardia,Milano ,Non mi informo,Parzialmente negativa,500,,1400,,3,2,2,1,2,1,1,3,1,3,"Peste, Caccia alle streghe, Vassalli","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Un periodo di involuzione, carestie e impoverimento "
09/04/2025 20.56.15,Donna,40-49,Diploma di istruzione liceale,Sì,Lombardia,MB,Non mi informo,Parzialmente positiva,800,Prima dell'anno 1000,1300,Perché nel 1400 inizia l'umanesimo,5,5,5,4,5,3,5,5,5,3,"Caccia alle streghe, Invasioni Barbariche, Peste, Arabi, Vassalli","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",
09/04/2025 21.24.51,Uomo,50-59,Diploma di istruzione liceale,No,Lombardia,MB,Libri,Parzialmente negativa,XI,,XIII,,4,4,4,3,2,2,3,4,2,4,"Invasioni Barbariche, Caccia alle streghe, Crociate, Peste, Vassalli","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Epoca di ignoranza e superstizione 
10/04/2025 9.08.47,Donna,60-69,Laurea magistrale,Sì,Lombardia,Mi,Libri,Parzialmente negativa,Quinto secolo,Fine impero romano,1492,Scoperta dell'America,4,5,5,1,5,5,5,5,1,3,"Caccia alle streghe, Crociate, Vassalli, Invasioni Barbariche, Peste","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
10/04/2025 11.39.44,Donna,40-49,Diploma di istruzione tecnica,No,Lombardia,MI,"Libri, Serie TV",Assolutamente negativa,Intorno 800/1000 dc,E’ tra la fine impero romano e scopera America,1492 dc,Scoperta america con cristoforo colombo,5,5,3,3,1,3,4,2,2,4,"Vassalli, Caccia alle streghe, Peste","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",E’ sicuramente l’argomento piu’ pesante e noioso inseggnato nelle scuole superiori 
10/04/2025 21.30.13,Donna,40-49,Diploma di istruzione professionale,No,Lombardia,CR,Libri,Neutrale,800,Perché credo sia così ,1200,,3,2,3,2,2,1,3,1,1,1,"Peste, Crociate, Invasioni Barbariche, Caccia alle streghe, Vassalli","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,
11/04/2025 8.28.34,Uomo,20-29,Diploma di istruzione liceale,No,Campania,BN,"Libri, Podcast, Serie TV",Parzialmente negativa,V secolo d.C.,,XV secolo d.C.,,4,5,3,1,2,2,5,4,1,3,"Crociate, Normanni, Peste, Stato pontificio, Caccia alle streghe",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,
11/04/2025 8.54.59,Donna,18-19,Licenza media,No,Campania,BN,Libri,Neutrale,476 d.c. al XV,non lo so ,XV,è stato scoperta l’america ,3,2,3,5,3,4,3,3,4,2,Scoperta dell’America,Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale",
11/04/2025 9.03.58,Uomo,18-19,Licenza media,No,Campania,bn,Libri,Neutrale,nel 600,perché si,800,perché si,3,5,2,3,3,4,3,4,5,4,Aratro,"Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale",è un periodo di storia 
11/04/2025 9.09.50,Donna,18-19,Licenza media,No,Campania,BN,Libri,Neutrale,476,la fine dell’impero romano,1492,viene scoperta l’america,5,5,4,4,4,3,3,4,3,2,"Aratro, Vassalli, Crociate, Caccia alle streghe, Peste","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,
11/04/2025 9.10.57,Donna,18-19,Licenza media,No,Campania,BN,Libri,Neutrale,476,la fine dell'impero romano,1492,viene scoperta l'America ,5,3,4,4,4,2,3,4,3,2,"Aratro, Caccia alle streghe, Normanni, Vassalli","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,
11/04/2025 10.55.18,Donna,18-19,Diploma di istruzione professionale,No,Campania,BN,"Libri, Serie TV",Neutrale,476d.c,Perché la caduta dell'impero Romano d'Occidente rappresenta una svolta storica.,1453 o 1492,"Perché in quel periodo si sono verificati grandi cambiamenti storici, culturali ed economici che hanno trasformato profondamente l'Europa.",5,3,4,3,4,2,5,3,4,3,"Invasioni Barbariche, Caccia alle streghe, Stato pontificio, Repubbliche Marinare, Peste","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Del medioevo ho sia un pensiero positivo, che negativo. Per quanto riguarda il pensiero positivo penso che è stato un periodo cruciale di formazione europea, con radici profonde nella cultura, religione e istituzioni che ancora influenzano il presente. In più ha delle innovazioni significative in agricoltura, architettura e pensiero.
Per quanto riguarda il pensiero negativo, penso che è stata un'epoca segnata da violenza, instabilità, epidemie e limitazioni del pensiero scientifico e della libertà individuale, con forti disuguaglianze sociali.
"
11/04/2025 16.03.46,Uomo,30-39,Laurea triennale,No,Lombardia,Mi,"Libri, Podcast",Parzialmente negativa,Caduta dell’impero romano d’occidente,Avvento dei barbari e inizio di un periodo di instabilità e,1492,Scoperta dell’america,5,5,4,2,4,2,5,5,2,5,"Crociate, Normanni, Invenzione della stampa, Peste, Stato pontificio","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
11/04/2025 16.42.01,Donna,30-39,Diploma di istruzione liceale,Sì,Lombardia,MI,Non mi informo,Parzialmente negativa,300,Non so,1492,Scoperta dell'America,5,4,2,3,4,3,2,5,2,1,"Peste, Crociate, Vassalli","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,
11/04/2025 17.00.56,Donna,40-49,Laurea triennale,No,Veneto,Ve,"Libri, Serie TV, Giochi di ruolo",Neutrale,476,Cade L impero romano chiusura mentale,1492,Scoperta dell’america si inizia a riaprirsi ad altri mondi,5,5,5,1,3,1,5,5,1,3,"Peste, Stato pontificio, Caccia alle streghe",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,
11/04/2025 21.21.15,Uomo,30-39,Diploma di istruzione liceale,No,Lombardia,MB,"Libri, Videogiochi, Giochi di ruolo",Parzialmente negativa,476 dopo Cristo,A seguito della caduta del Sacro Romano Impero,1453,A seguito della conquista di Costantinopoli ,5,5,3,2,3,1,5,5,3,4,"Aratro, Crociate, Caccia alle streghe, Peste, Vassalli","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,
11/04/2025 22.01.48,Uomo,30-39,Dottorato,No,Lombardia,VA,Non mi informo,Parzialmente positiva,453,Quando è caduto l'impero romano di occidente,1492,Scoperta america,5,4,3,5,5,5,3,3,3,2,"Normanni, Vassalli, Aratro, Ungari, Crociate","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Un periodo di grandi invenzioni e idee
11/04/2025 22.04.41,Donna,30-39,Laurea magistrale,Sì,Lombardia,MB,Non mi informo,Parzialmente negativa,1300,,1400,,1,1,1,1,3,3,4,3,3,1,"Caccia alle streghe, Crociate, Peste","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",
11/04/2025 22.21.13,Uomo,20-29,Laurea magistrale,No,Lombardia,Mb ,"Libri, Podcast, Serie TV",Parzialmente positiva,Attorno al 476,Perché cade l’impero romano d’Occidente ,1492,Scoperta Americas e scoperta del Mac Donald ,4,3,2,3,4,4,3,2,3,2,"Arabi, Aratro, Invenzione della stampa, Repubbliche Marinare, Ungari",Non conosco il personaggio,Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Alabbbbbbarda
11/04/2025 22.22.50,Uomo,20-29,Diploma di istruzione tecnica,No,Lombardia,MB,Non mi informo,Parzialmente positiva,Decimo secolo,,Quattordicesimo secolo,,5,5,2,3,2,2,5,5,3,4,"Peste, Caccia alle streghe, Invenzione della stampa, Vassalli, Crociate","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",
12/04/2025 16.15.45,Uomo,30-39,Laurea triennale,No,Lombardia,VA,Non mi informo,Neutrale,1500,In base ai ricordi scolastici che ho sulla storia,1600,,4,2,2,2,3,4,3,2,5,1,"Caccia alle streghe, Scoperta dell’America, Crociate, Repubbliche Marinare","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,
12/04/2025 16.27.34,Uomo,20-29,Diploma di istruzione tecnica,No,Lombardia,MB,"Libri, Videogiochi, Podcast, Giochi di ruolo",Parzialmente positiva,500 circa,Data di fondazione del Sacro Roman Impero,1492,Anno di scoperta dell'americhe,4,5,3,1,4,3,2,2,4,2,"Peste, Repubbliche Marinare, Normanni, Crociate, Caccia alle streghe","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",
14/04/2025 20.25.32,Uomo,18-19,Licenza media,No,Lombardia,MB,Non mi informo,Neutrale,13 secolo,,13 secolo ,,5,3,2,5,3,2,5,3,4,2,"Crociate, Stato pontificio, Invasioni Barbariche, Caccia alle streghe, Peste","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,Non conosco il personaggio,Penso che sia un bel periodo.
21/04/2025 14.57.52,Uomo,50-59,Dottorato,Sì,Puglia,Le ,Libri,Assolutamente negativa,Mille,,1200,,4,4,1,1,1,1,1,4,1,4,Caccia alle streghe,"No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Il periodo più brutto dellanstoria
21/04/2025 15.58.09,Uomo,30-39,Diploma di istruzione tecnica,No,Lombardia,Milano,"Libri, Videogiochi, Podcast, Serie TV, Giochi di ruolo",Parzialmente negativa,700,Vado a ricordo ,1792,"Data di scoperta dell’America, credo fosse la fine del medioevo",5,5,5,2,4,2,5,5,2,3,"Normanni, Stato pontificio, Aratro, Vassalli, Peste","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
21/04/2025 16.04.48,Uomo,20-29,Laurea magistrale,No,Lombardia,MB,"Libri, Videogiochi, Serie TV, Giochi di ruolo",Neutrale,1500,dopo la caduta di costantinopoli,1700,perché poi si avvicina il 1800,5,3,4,4,3,3,5,4,4,4,"Invasioni Barbariche, Normanni, Crociate, Peste, Vassalli","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,che figata
21/04/2025 16.06.26,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,Monza,Libri,Neutrale,480,caduta dell’impero romano,non lo so,non lo so,1,3,2,4,1,2,3,2,4,4,"Vassalli, Invasioni Barbariche, Scoperta dell’America, Peste","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",
21/04/2025 16.11.11,Uomo,20-29,Diploma di istruzione tecnica,No,Lombardia,MB,Non mi informo,Neutrale,5 secolo DC,Caduta impero romano,1492,scoperta america,5,5,3,4,4,2,5,3,2,4,"Caccia alle streghe, Invenzione della stampa, Vassalli, Crociate, Peste","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",
30/04/2025 23.31.16,Uomo,20-29,Diploma di istruzione tecnica,No,Lazio,Rm,"Non mi informo, ",Assolutamente negativa,V secolo,"È un periodo durato più o meno mille anni caratterizzato da scarso progresso tecnologico e varie epidemie. Solitamente viene diviso in tre macro fasi, in totale va dale 470 al 1490 circa.",XV,Risposta più dettagliata nella prima domanda,3,5,2,4,1,1,4,5,3,5,"Peste, Caccia alle streghe, Crociate","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",
20/05/2025 15.54.53,Uomo,20-29,Laurea triennale,No,Lombardia,MB,"Libri, Videogiochi, Serie TV, ",Neutrale,V secolo,,1492,,5,5,2,4,3,3,5,3,2,2,"Stato pontificio, Crociate, Peste, Vassalli, Arabi","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
19/07/2025 13.05.32,Uomo,20-29,Laurea triennale,No,Lombardia,MI,Videogiochi,Parzialmente positiva,478 dc,Caduta dell'impero romano d'occidente,1492,Scoperta dell'america da colombo,5,5,3,2,3,2,5,5,1,3,"Crociate, Peste, Aratro, Vassalli, Caccia alle streghe","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Carino da scoprire tutto quello che e successo, da vivere probabilmente meno"
19/07/2025 13.16.34,Donna,20-29,Diploma di istruzione liceale,Sì,Lombardia,Mi,"Libri, Podcast",Neutrale,475 d.C,Cade impero romano occidente (invasioni barbariche),1492,Colombo approda nelle Americhe,5,4,3,3,4,3,4,3,1,4,"Peste, Crociate, Invenzione della stampa, Stato pontificio, Invasioni Barbariche","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Periodo storico di cui non si sa molto, ingiustamente definito come buio"
29/07/2025 12.22.26,Uomo,40-49,Laurea magistrale,Sì,Lombardia,MB,Rai Storia,Parzialmente positiva,V,Crollo dell'Impero Romano,1492,Scoperta dell'America,5,5,3,2,5,3,5,4,3,3,"Crociate, Peste, Invasioni Barbariche, Caccia alle streghe",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,"No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
11/10/2025 21.45.44,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,Co,Podcast,Neutrale,476,Caduta dell'impero Romano,1492,Scoperta dell'America,5,5,3,3,1,4,2,3,2,5,"Caccia alle streghe, Vassalli","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,
